,Current,Contribution,Time Start,Time End
0,I_K1,0.33140354242300574,4.295999999999769,4.305999999999769
1,I_To,0.22880082314218067,3.6359999999997106,3.6459999999997104
2,I_Kr,0.31609635362190536,1.2659999999999714,1.2759999999999714
3,I_Ks,0.137769764713975,9.040000000000429,9.050000000000429
4,I_CaL,0.7119020487319456,2.831999999999799,2.841999999999799
5,I_NaK,0.2845026055286384,0.9180000000000007,0.9280000000000007
6,I_Na,0.8947715216980598,2.7639999999998066,2.7739999999998064
7,I_NaL,0.12254114312254676,2.0189999999998887,2.0289999999998884
8,I_NaCa,0.37728499423168543,2.078999999999882,2.088999999999882
9,I_pCa,0.07392195858122529,0.7380000000000005,0.7480000000000006
10,I_F,0.34766558375452317,5.932000000000316,5.9420000000003155
11,I_bNa,0.0619275460551243,0.1220000000000001,0.1320000000000001
12,I_bCa,0.07817084675964205,1.2469999999999735,1.2569999999999735
13,I_ion,0.0,0.0,0.01
14,I_seal_leak,0.5937980775194242,0.1230000000000001,0.1330000000000001
15,I_out,0.0,0.0,0.01
16,I_no_ion,0.0,0.0,0.01
